,dataset,pehe
0,tvae_ihdp_0.csv,3.3529365
1,ctgan_ihdp_4.csv,2.815202
2,ddpm_ihdp_1.csv,5.0574155
3,ctgan_ihdp_0.csv,3.2304072
4,arf_ihdp_3.csv,4.6146984
5,ddpm_ihdp_2.csv,4.9811044
6,tvae_ihdp_4.csv,3.200022
7,ddpm_ihdp_3.csv,5.7565584
8,tvae_ihdp_3.csv,3.8152473
9,nflow_ihdp_3.csv,5.8628607
10,ddpm_ihdp_0.csv,4.650599
11,arf_ihdp_1.csv,3.1779346
12,arf_ihdp_4.csv,3.4414732
13,arf_ihdp_0.csv,4.2201824
14,tvae_ihdp_2.csv,4.7428684
15,nflow_ihdp_1.csv,4.6984363
16,arf_ihdp_2.csv,3.4123123
17,nflow_ihdp_4.csv,4.3416066
18,ctgan_ihdp_3.csv,3.0833688
19,nflow_ihdp_0.csv,5.188861
20,ddpm_ihdp_4.csv,3.2709596
21,ctgan_ihdp_2.csv,2.7885249
22,tvae_ihdp_1.csv,4.057745
23,nflow_ihdp_2.csv,4.6362042
24,ctgan_ihdp_1.csv,2.872959
25,real,1.8481388
26,tvae_ihdp_0.csv,3.838187
27,ctgan_ihdp_4.csv,2.5793543
28,ddpm_ihdp_1.csv,4.960095
29,ctgan_ihdp_0.csv,4.048868
30,arf_ihdp_3.csv,4.160864
31,ddpm_ihdp_2.csv,4.2912517
32,tvae_ihdp_4.csv,3.809268
33,ddpm_ihdp_3.csv,5.103706
34,tvae_ihdp_3.csv,3.4329832
35,nflow_ihdp_3.csv,5.968373
36,ddpm_ihdp_0.csv,4.6039486
37,arf_ihdp_1.csv,3.5768697
38,arf_ihdp_4.csv,2.952962
39,arf_ihdp_0.csv,4.3230047
40,tvae_ihdp_2.csv,4.2152348
41,nflow_ihdp_1.csv,5.4238563
42,arf_ihdp_2.csv,3.409118
43,nflow_ihdp_4.csv,4.2331853
44,ctgan_ihdp_3.csv,2.7677996
45,nflow_ihdp_0.csv,4.3434677
46,ddpm_ihdp_4.csv,3.6962101
47,ctgan_ihdp_2.csv,2.910237
48,tvae_ihdp_1.csv,3.8266768
49,nflow_ihdp_2.csv,5.1408796
50,ctgan_ihdp_1.csv,2.7501147
51,real,1.4924406
52,tvae_ihdp_0.csv,3.608623
53,ctgan_ihdp_4.csv,2.9741256
54,ddpm_ihdp_1.csv,4.585983
55,ctgan_ihdp_0.csv,2.9850779
56,arf_ihdp_3.csv,3.926189
57,ddpm_ihdp_2.csv,4.83247
58,tvae_ihdp_4.csv,3.7877269
59,ddpm_ihdp_3.csv,3.728879
60,tvae_ihdp_3.csv,4.11078
61,nflow_ihdp_3.csv,5.2944846
62,ddpm_ihdp_0.csv,4.4331837
63,arf_ihdp_1.csv,2.7041233
64,arf_ihdp_4.csv,3.5187662
65,arf_ihdp_0.csv,4.007155
66,tvae_ihdp_2.csv,3.7464144
67,nflow_ihdp_1.csv,5.435064
68,arf_ihdp_2.csv,3.2918112
69,nflow_ihdp_4.csv,3.7018821
70,ctgan_ihdp_3.csv,3.0716817
71,nflow_ihdp_0.csv,5.204632
72,ddpm_ihdp_4.csv,3.3493507
73,ctgan_ihdp_2.csv,2.7723773
74,tvae_ihdp_1.csv,3.7597754
75,nflow_ihdp_2.csv,4.0961075
76,ctgan_ihdp_1.csv,3.2144134
77,real,1.5794318
