n_known,u_pehe,u_policy
0.0,5.622864246368408,0.505
0.0,5.5013108253479,0.565
0.0,5.817047119140625,0.555
0.0,5.609976768493652,0.435
0.0,5.528567314147949,0.22
1.0,4.432507038116455,0.69
1.0,4.499783515930176,0.75
1.0,4.858639240264893,0.715
1.0,4.870306491851807,0.75
1.0,4.962712287902832,0.665
2.0,3.773148775100708,0.855
2.0,3.7293753623962402,0.855
2.0,3.9434945583343506,0.795
2.0,3.6555893421173096,0.795
2.0,3.5450878143310547,0.85
3.0,2.6318399906158447,0.95
3.0,2.6576340198516846,0.905
3.0,3.0008625984191895,0.97
3.0,2.8241875171661377,0.91
3.0,2.601243734359741,0.9
4.0,1.7946168184280396,0.98
4.0,1.9916791915893555,0.945
4.0,1.7191013097763062,0.95
4.0,1.5979279279708862,0.985
4.0,1.7700743675231934,0.96
5.0,1.1847453117370605,0.99
5.0,1.4604136943817139,0.975
5.0,1.4284693002700806,0.98
5.0,1.393186330795288,0.995
5.0,1.3339003324508667,0.97
